purchase_value,user_lifetime_event_count,unique_session_count_cumulative_y,user_lifetime_purchase_count,days_since_previous_purchase,q1_purchase,q2_purchase,q3_purchase,mean_discounted_proportion,purchase_repeat_product%,fb_session,email_session,purchase_session_duration,product_id_count,cumulative_product_id_count,repeated_purchase_in_60d,weekend_purchase,mac_purchase,iphone_purchase,mobile_purchase
33400,37,286,1,999,True,False,False,0,0,False,False,3534,2,2,1,0,False,False,False
17700,78,286,2,3,True,False,False,0,0,False,False,1703,1,3,1,0,False,False,False
17600,100,286,3,1,True,False,False,0,0,False,False,1431,1,4,1,0,False,False,False
16200,114,286,4,0,True,False,False,0,0,False,False,1431,1,5,1,0,False,False,False
11200,123,286,5,3,True,False,False,0,0,False,False,980,1,6,1,1,False,False,False
10200,147,286,6,3,True,False,False,1,0,False,False,1290,1,7,1,0,False,False,False
31800,182,286,7,7,True,False,False,0,0,False,False,620,2,9,1,0,False,False,False
15490,188,286,8,0,True,False,False,0,0,False,False,620,2,11,0,0,False,False,False
36200,581,286,9,215,False,False,True,0,0,False,False,1455,2,2,1,0,True,False,False
207600,595,286,10,2,False,False,True,0,0,False,False,712,3,5,1,0,True,False,False
41100,598,286,11,0,False,False,True,0,0,False,False,712,2,7,1,0,True,False,False
56400,642,286,12,26,False,False,False,0,0,False,False,481,3,10,0,0,True,False,False
48270,927,286,13,117,True,False,False,0,0,False,False,705,4,4,1,0,True,False,False
110400,983,286,14,26,True,False,False,0,0,False,False,510,5,9,1,1,True,False,False
50300,1012,286,15,10,True,False,False,0,0,False,False,1280,3,12,1,0,True,False,False
64900,46,17,1,999,False,False,True,0,0,False,False,1299,8,8,0,0,True,False,False
57300,57,17,2,154,True,False,False,1,0,False,False,2961,5,5,1,0,False,False,False
83900,78,17,3,60,False,True,False,0,0,False,False,2023,4,9,1,0,False,False,False
46200,5,5,1,999,True,False,False,0,1,False,False,730,1,1,1,1,False,True,False
46200,8,5,2,0,True,False,False,0,1,False,False,312,1,2,1,1,False,True,False
107640,19,16,1,999,True,False,False,0,0,False,True,1623,9,9,1,1,False,True,False
173450,37,16,2,5,True,False,False,0,0,False,True,964,11,20,1,0,False,True,False
120350,61,16,3,27,False,True,False,0,1,False,False,651,10,10,1,0,False,True,False
161550,80,16,4,3,False,True,False,0,0,False,False,604,12,22,1,0,False,True,False
173200,14,21,1,999,True,False,False,0,0,False,False,2096,8,8,1,1,False,False,False
215000,15,19,1,999,True,False,False,0,0,False,False,3009,9,9,1,1,False,False,False
153250,58,9,1,999,False,True,False,0,0,False,False,6769,8,8,0,0,True,False,False
234800,16,8,1,999,True,False,False,0,0,False,False,603,7,7,1,0,False,True,False
237210,24,8,2,7,True,False,False,0,0,False,False,1436,4,4,1,0,True,False,False
241300,34,8,3,1,True,False,False,0,0,False,False,2333,5,9,1,0,True,False,False
351600,8,6,1,999,True,False,False,0,0,False,False,593,5,5,1,0,False,False,False
255000,14,6,2,7,True,False,False,0,0,False,False,842,3,8,1,0,False,False,False
323100,20,6,3,14,True,False,False,0,0,False,False,443,2,10,1,0,False,False,False
232500,6,3,1,999,True,False,False,0,0,False,False,944,2,2,1,0,False,False,False
266800,16,8,1,999,True,False,False,0,0,False,False,1002,11,11,1,0,True,False,False
90000,22,8,2,9,True,False,False,0,1,False,False,142,1,1,1,0,True,False,False
172300,31,8,3,10,True,False,False,0,0,False,False,407,6,7,1,0,True,False,False
135000,35,8,4,12,False,True,False,0,1,False,False,142,1,1,1,1,False,True,False
98500,7,5,1,999,True,False,False,0,0,False,False,1590,3,3,1,0,False,True,False
238600,67,7,1,999,False,False,True,0,0,False,False,8580,5,5,0,0,True,False,False
59050,5,5,1,999,True,False,False,0,0,False,False,914,2,2,1,0,False,False,False
36500,8,9,1,999,True,False,False,0,0,False,False,697,3,3,1,0,False,False,False
49000,22,9,2,6,True,False,False,0,0,True,False,1565,3,3,1,0,False,False,False
249200,16,12,1,999,True,False,False,0,0,False,False,271,8,8,1,0,False,True,False
75700,75,25,1,999,True,False,False,0,0,False,False,1007,3,3,1,0,False,False,False
305900,5,1,1,999,True,False,False,0,0,False,False,1396,1,1,1,0,False,False,False
192000,5,2,1,999,True,False,False,0,0,False,False,3578,1,1,1,0,False,False,False
95700,9,1,1,999,True,False,False,1,0,False,False,2911,4,4,1,0,False,True,False
194500,72,57,1,999,False,True,False,0,0,False,False,3489,8,8,1,0,True,False,False
101200,90,57,2,13,False,True,False,0,1,False,False,349,4,12,1,0,True,False,False
127600,115,57,3,15,False,True,False,0,0,False,False,1248,6,18,1,0,True,False,False
167000,147,57,4,13,False,True,False,0,0,False,False,1183,5,23,1,0,True,False,False
192700,172,57,5,18,False,False,True,0,0,False,False,443,7,30,1,0,True,False,False
260700,221,57,6,27,False,False,True,0,0,False,False,687,5,35,1,0,True,False,False
213400,253,57,7,14,False,False,True,0,1,False,False,834,8,43,1,0,True,False,False
231900,277,57,8,17,False,False,True,0,1,False,False,572,7,50,1,0,True,False,False
166300,299,57,9,18,False,False,True,0,1,False,False,310,6,56,1,0,True,False,False
237100,302,57,10,16,False,False,False,0,1,False,False,513,7,63,1,0,True,False,False
177800,307,57,11,13,False,False,False,0,0,False,False,221,6,6,1,0,True,False,False
210400,323,57,12,15,False,False,False,0,0,False,False,1106,8,8,1,1,False,True,False
226400,347,57,13,13,False,False,False,0,1,False,False,145,7,7,1,0,False,True,False
195700,359,57,14,19,False,False,False,0,1,False,False,481,7,7,1,0,True,False,False
